,title,publication_date,source,doi,abstract,tags,authors,url,citation_count,search_string
0,"Trade-offs between carbon sequestration and rural incomes in the N’hambita Community Carbon Project, Mozambique",2011-01-01,Land Use Policy,10.1016/J.LANDUSEPOL.2011.05.007,"This paper presents a preliminary assessment of trade-offs between carbon sequestration and farmers’ incomes from land-use systems implemented in a community-based project, in Mozambique. Systems either focus on carbon sequestration or combine sequestration with cash crop cultivation. The latter provide carbon payments with potential income from cash crop sales. Uncertainty about the future costs and benefits of maintaining and utilizing the land-use systems over time is addressed via application of Monte Carlo simulations. Our results show that compared with sequestration-only systems those that combine sequestration and cash crop production have higher net benefits, although they have less carbon-sequestration potential. Homestead planting provides the most attractive balance among competing policy goals. Carbon payments contribute to cash income and may enable smallholders to overcome initial project investment costs.","Trade offs,Payment,Land use,Economics,Cost–benefit analysis,Cash crop,Carbon sequestration,Carbon project,Agriculture,Agricultural economics,Solidarity,Sociology,Socioeconomics,Public economics,Property rights,Program Design Language,Silver bullet,Natural resource economics,Livelihood,Solidarity,Socioeconomics,Political economy of climate change,Soil conservation,Soil carbon,Silvopasture,Woodland,Vegetation,Species richness,United Nations Framework Convention on Climate Change,Revenue,Property rights,Sustainable development,Natural resource,Land tenure,Tax revenue,Revenue,Payment,Sustainability,Reforestation,Physics","Charles Palmer,Tilmann Silber,Nihar Ranjan Das,Stefano Pagiola,Agustin Arcenas,Gunars Platais,N. Landell-Mills,I. T. Porras,J. (Hans) B. Opschoor,F. Montagnini,P. K. R. Nair,M. Williams,C.M. Ryan,R.M. Rees,E. Sambane,J. Fernando,Sebastian Thomas,Paul Dargusch,Steve Harrison,John Herbohn,Rohit Jindal,Brent Swallow,John Kerr,Kenneth M Chomitz,Esteban Brenes,Luis Constantino,John O. Niles,Sandra Brown,Jules Pretty,Andrew S. Ball,John Fay",http://core.ac.uk/display/221218,32,carbon project agriculture
1,"Old wine, new bottles? Investigating the differential adoption of ‘climate-smart’ agricultural practices in western Kenya",2017-01-01,Journal of Rural Studies,10.1016/J.JRURSTUD.2017.09.010,"Abstract This study assesses factors influencing the adoption of land management practices associated with a World Bank-financed project on ‘climate-smart’ agriculture: the Kenya Agricultural Carbon Project. Drawing upon mixed-methods research with participating farmers in Bungoma County, western Kenya, we find modest reported adoption rates overall for project-encouraged practices, amounting to 53.6 percent on average. However, we also find that there are systematic differences in the reported adoption rates of individual practices. Disaggregating our sample into three classes or ‘wealth groups’, we find that the ‘very poor’ and ‘poor’ groups exhibit substantially lower adoption rates (42 percent and 49 percent, respectively) relative to the ‘less poor’ wealth group (73 percent). Across these groups, practices related to livestock management and pest management are systematically less adopted (0–45 percent) than more popular practices such as agroforestry and tillage management, the reported adoption of which both range from 60 to 80 percent. Consequently, we suggest that barriers to the adoption of apparently ‘climate smart’ agricultural practices at scale may increasingly be political-economic rather than simply technical-managerial in nature. This reflects the poorest strata of farmers' struggles to negotiate the increasingly externally imposed imperatives of climate adaptation and mitigation with the necessity of ‘simple reproduction’ or survival of the household as a socioeconomic unit. Future generations of ‘climate smart’ agricultural programmes may thus benefit from disaggregating adaptation and mitigation objectives in order to avoid unduly burdening the poorest strata of participating households in rural African contexts.","Socioeconomics,Socioeconomic status,Negotiation,Livestock management,Land management,Integrated pest management,Environmental resource management,Economics,Carbon project,Agriculture,Sustainable agriculture,Soil retrogression and degradation,Soil quality,Sustainability,Soil indicators,Sociology,Sustainability,Rural development,Politics,Sustainability,Productive capacity,Ecosystem services,Sustainability,No-till farming,Intensive farming,Sustainability,Soil quality,Poverty,Social exclusion,Political ecology,Natural resource,Social group,Social class,Political economy,Subsidy,Panel data,Food security,Natural disaster,Livestock farming,Genetic resources","Connor Joseph Cavanagh,Anthony Kibet Chemarum,Paul Olav Vedeld,Jon Geir Petursson,Ken E. Giller,Ernst Witter,Marc Corbeels,Pablo Tittonell,David Pannell,Graham Marshall,Neil Barr,Allan Curtis,Frank Vanclay,Ian Scoones,Amir Kassam,Theodor Friedrich,Francis Shaxson,Jules Pretty,Cameron M. Pittelkow,Xinqiang Liang,Bruce A. Linquist,Kees Jan van Groenigen,Juhwan Lee,Shibu Jose,Piers Blaikie,Harold Brookfield,Henry Bernstein,Aslihan Arslan,Nancy McCarthy,Leslie Lipper,Solomon Asfaw,Andrea Cattaneo,L. Palombi,R. Sessa",https://www.sciencedirect.com/science/article/pii/S0743016716304697,11,carbon project agriculture
2,"Implications on equity in agricultural carbon market projects: a gendered analysis of access, decision making, and outcomes",2015-01-01,Environment and Planning A,10.1177/0308518X15595897,"Carbon market projects have focused on reducing greenhouse gas emissions, often at the expense of achieving sustainable development goals. A central pillar in sustainable development is equity, yet most projects pay little attention to equity implications for underrepresented farmers, especially women. Agricultural carbon market projects that explicitly seek to promote sustainable agricultural land management practices are quickly gaining attention worldwide for their promise to deliver the â€˜triple-winâ€™: adaptation, food security, and mitigation. Previous experience with other payment for ecosystem services projects indicate that women often are marginalized and their needs ignored. To address this gap, this case study examined the Kenya Agricultural Carbon Project with a focus on gender equity in access, decision making, and outcomes. Results show that women had less access to joining the project than men, because they did not have the same level of influence in decision making at a household level. At the project level, both men and women had little influence in establishing project requirements and potential benefits, as these were decided upon prior to farmer recruitment. Regarding outcomes, women tended to participate in more project activities, and would in return reap more nonmonetary benefits than men. However, the costs involved in achieving these benefits was nontrivial: women's farm labor time increased significantly due to the substantial time and effort required to implement sustainable agricultural land management practices. If agricultural soil carbon market projects are to achieve better outcomes by addressing equity issues, they need to pay special attention to gender and the differing needs of farmersâ€”male, female, young, old, poor, and less poorâ€”by involving them at the project design stage. Our findings show the importance of additional project benefits unrelated to carbon income for addressing the requirements of equity perceived by both the implementing agency and women themselves.","Sustainable development,Social science,Social exclusion,Public economics,Payment for ecosystem services,Food security,Equity (finance),Economics,Economic growth,Climate change mitigation,Carbon project,Agriculture,Sociology,Socioeconomics,Social influence,Public economics,Property rights,Program Design Language,Village communities,Socioeconomics,Natural resource,Service provider,Public policy,Payment for ecosystem services,Resource scarcity,Property rights,Natural resource economics,Social equality,Poverty,Payment for ecosystem services,Social equality,Private equity fund,Payment,Service provider,Public economics,Payment,Social change,Legitimacy,Incentive,Vegetation,United Nations Framework Convention on Climate Change,Southeast asia","Jean Lee,Adrian Martin,Patti Kristjanson,Eva Wollenberg,Jesse C. Ribot,Nancy Lee Peluso,Stefano Pagiola,Agustin Arcenas,Gunars Platais,Bina Agarwal,Stefano Pagiola,A. P. Kinzig,C. Perrings,F. S. Chapin,Stephen Polasky,V. K. Smith,Unai Pascual,Jacob Wesley Phelps,Eneko Garmendia,Katrina Brown,Esteve Corbera,Melanie McDermott,Sanghamitra Mahanty,Kate Schreckenberg,Jan Börner,Sven Wunder,Sheila Wertz-Kanounnikoff,Marcos Rügnitz Tito,Ligia Pereira,Esteve Corbera,Katrina Brown,W. Neil Adger,Finn Danielsen,Teis Adrian,Søren Brofeldt,Meine van Noordwijk,Michael K. Poulsen",http://journals.sagepub.com/doi/pdf/10.1177/0308518X15595897,8,carbon project agriculture
3,Farmer participation in a climate-smart future: Evidence from the Kenya Agricultural Carbon Project,2017-01-01,Land Use Policy,10.1016/J.LANDUSEPOL.2017.07.020,"Abstract Smallholder agricultural carbon market projects have potential to achieve climate-smart agriculture (CSA), a “triple-win” for food security, climate change mitigation, and adaptation. Farmer participation is critical for achieving widespread impact, yet their adoption of sustainable land management practices is constrained by eligibility, willingness, and ability to participate. This research examines how the Kenya Agricultural Carbon Project enabled smallholder participation, with results emphasizing the importance of institutional conditions and farmers’ perceptions. Findings highlight the necessity of international collaborations and high levels of synergistic coordination. Building social capital and adopting participatory learning approaches are strategies that can increase participation and create inclusive climate-smart agriculture projects.","Sustainable land management,Social capital,Participatory learning,Food security,Environmental resource management,Economics,Climate change mitigation,Climate change,Carbon project,Agriculture,Sustainability,Population,Natural resource economics,Vulnerability,Social system,Social capital,Qualitative research,Psychology,Management science,Sustainability,Rural development,Politics,Sustainable Agriculture Innovation Network,Good agricultural practice,Food systems,Public economics,Property rights,Program Design Language,Tropics,Satellite,Greenhouse gas,Vagueness,Unpacking,Sociology,Transaction cost,Property rights,Payment,Political science,Panacea (medicine),Government","Jean Lee,H. Charles,J. Godfray,John R. Beddington,Ian R. Crute,Lawrence Haddad,W. Neil Adger,Michael Quinn Patton,Ian Scoones,Leslie Lipper,Philip Thornton,Bruce M. Campbell,Tobias Baedeker,Ademola Braimoh,Stefano Pagiola,Agustin Arcenas,Gunars Platais,Nancy L. Harris,Sandra Brown,Stephen C. Hagen,Sassan S. Saatchi,Silvia Petrova,Andrea Cornwall,Arild Vatn,Fikret Berkes",https://cgspace.cgiar.org/handle/10568/89437,7,carbon project agriculture
4,Evaluating the potential financial contributions of carbon farming to grazing enterprises in Western NSW,2019-01-01,Rangeland Journal,10.1071/RJ18032,"This article reports on modelling of the farm-level financial implications of changing land use from rangelands grazing to ‘carbon farming’ (vegetation-based carbon sequestration) in north-western New South Wales, Australia. Four model farm businesses were created by combining information from existing carbon projects funded under the Australian Government’s Emissions Reduction Fund (ERF), data from surveys of farm businesses in the study regions and biomass estimations from the pasture growth model, GRASP. Scenarios for each of the businesses were: baseline (current grazing system); clearing vegetation to increase carrying capacity; establishing a carbon project; and establishing a carbon project and reinvesting some of the additional income in exclusion fencing to increase carrying capacity on non-project areas. The carbon project scenarios were based on either of two approved carbon sequestration methodologies within the ERF: avoided deforestation; and human-induced regeneration. In comparing the financial outcomes of these scenarios across the modelled businesses, we found potential advantages for landholders in having projects where livestock carrying capacity was at medium to low levels for the study region and where woody vegetation biomass potential was medium to high for the region. The case for sequestration projects on land with higher carrying capacity and therefore higher opportunity cost was much less compelling. In most cases, reinvestment in exclusion fencing resulted in similar financial returns to just having a carbon project but farm business income increased in later years.","Opportunity cost,Land use,Greenhouse gas,Fencing,Deforestation,Carbon sequestration,Carbon project,Biology,Agroforestry,Agriculture,Subsidy,Natural resource economics,Incentive,Weed,Sustainable agriculture,Pollinator,Sustainability,Rangeland management,Rangeland,Measurement of biodiversity,Intact forest landscape,Habitat conservation,Wood production,Species richness,Monoculture,Net present value,Land use, land-use change and forestry,Interception,Restoration ecology,Reforestation,Forestry,Sustainable agriculture,Scholarship,Land use,Woodland,Stocking,Rangeland,Revegetation,Reforestation,Land use","Geoff Cockfield,Uttam Shrestha,Cathy Waters,Kenneth R. Richards,Carrie Stokes,Luísa Gigante Carvalheiro,Ruan Veldtman,Awraris Getachew Shenkute,Gebreamlak Bezabih Tesfay,Christian Walter Werner Pirk,G. M. McKeon,G. S. Stone,J. I. Syktus,J. O. Carter,N. R. Flood,Himlal Baral,Rodney J. Keenan,Sunil K. Sharma,Nigel E. Stork,Sabine Kasel,Kristin B. Hulvey,Richard J. Hobbs,Rachel J. Standish,David B. Lindenmayer,Lori Lach,Phil Polglase,Andrew Reeson,Charlie Hawkins,Keryn Paul,Anders Siggins,Neville D. Crossman,Brett A. Bryan,David M. Summers,Megan C. Evans,Josie Carwardine,Rod J. Fensham,Don W. Butler,Kerrie A. Wilson,N. D. MacLeod,A. J. Ash,J. G. McIvor,Tek Narayan Maraseni,Geoff Cockfield",https://www.publish.csiro.au/RJ/RJ18032,3,carbon project agriculture
5,Carbon Intensification and Poverty Reduction in Kenya: Lessons from the Kenya Agricultural Carbon Project,2013-01-01,Field Actions Science Reports. The journal of field actions,,"The Kenya Agricultural Carbon Project, implemented by the NGO Vi Agroforestry, is breaking new ground in designing and implementing climate finance projects in the agricultural sector. For the first time, while increasing agricultural productivity and enhancing resilience to climate change, smallholder farmers in Africa will receive benefits for greenhouse gas mitigation based on sustainable agricultural land management. The project has developed an activity monitoring system for sustainable agricultural land management (SALM) practices that enables smallholder famers and extension service provider to track and improve farm production. Based on the development of a carbon accounting methodology this system, in combination with a carbon model, is monitoring soil and biomass carbon sequestration consistent with the Verified Carbon Standard. As a result farmers in Africa for the first time can benefit from international voluntary carbon markets. The paper describes the Vi Agroforestry extension approach, outlines the project objectives and activities, and explains the carbon accounting methodology. Project achievements and lessons learned, but also the challenges that still lie ahead are presented. The authors conclude that the project model has great potential for scaling up and provide a potential blueprint for widespread adoption and effective monitoring of sustainable agricultural management in smallholder conditions.","Sustainable management,Natural resource economics,Greenhouse gas,Environmental protection,Climate Finance,Carbon project,Carbon accounting,Business,Agriculture,Agricultural productivity,Agricultural land,Greenhouse gas,Food security,Economics,Sustainability,Low-carbon economy,Land use, land-use change and forestry","Timm Tennigkeit,Katalin Solymosi,Matthias Seebauer,Bo Lager,Johannes Woelcke,J. Woelcke,T. Tennigkeit",https://journals.openedition.org/factsreports/pdf/2600,4,carbon project agriculture
6,The global methane budget 2000-2012,2016-01-01,Earth System Science Data,10.5194/ESSD-8-697-2016,"Abstract. The global methane (CH4) budget is becoming an increasingly important component for managing realistic pathways to mitigate climate change. This relevance, due to a shorter atmospheric lifetime and a stronger warming potential than carbon dioxide, is challenged by the still unexplained changes of atmospheric CH4 over the past decade. Emissions and concentrations of CH4 are continuing to increase, making CH4 the second most important human-induced greenhouse gas after carbon dioxide. Two major difficulties in reducing uncertainties come from the large variety of diffusive CH4 sources that overlap geographically, and from the destruction of CH4 by the very short-lived hydroxyl radical (OH). To address these difficulties, we have established a consortium of multi-disciplinary scientists under the umbrella of the Global Carbon Project to synthesize and stimulate research on the methane cycle, and producing regular (∼ biennial) updates of the global methane budget. This consortium includes atmospheric physicists and chemists, biogeochemists of surface and marine emissions, and socio-economists who study anthropogenic emissions. Following Kirschke et al. (2013), we propose here the first version of a living review paper that integrates results of top-down studies (exploiting atmospheric observations within an atmospheric inverse-modelling framework) and bottom-up models, inventories and data-driven approaches (including process-based models for estimating land surface emissions and atmospheric chemistry, and inventories for anthropogenic emissions, data-driven extrapolations). For the 2003–2012 decade, global methane emissions are estimated by top-down inversions at 558 Tg CH4 yr−1, range 540–568. About 60 % of global emissions are anthropogenic (range 50–65 %). Since 2010, the bottom-up global emission inventories have been closer to methane emissions in the most carbon-intensive Representative Concentrations Pathway (RCP8.5) and higher than all other RCP scenarios. Bottom-up approaches suggest larger global emissions (736 Tg CH4 yr−1, range 596–884) mostly because of larger natural emissions from individual sources such as inland waters, natural wetlands and geological sources. Considering the atmospheric constraints on the top-down budget, it is likely that some of the individual emissions reported by the bottom-up approaches are overestimated, leading to too large global emissions. Latitudinal data from top-down emissions indicate a predominance of tropical emissions (∼ 64 % of the global budget, The most important source of uncertainty on the methane budget is attributable to emissions from wetland and other inland waters. We show that the wetland extent could contribute 30–40 % on the estimated range for wetland emissions. Other priorities for improving the methane budget include the following: (i) the development of process-based models for inland-water emissions, (ii) the intensification of methane observations at local scale (flux measurements) to constrain bottom-up land surface models, and at regional scale (surface networks and satellites) to constrain top-down inversions, (iii) improvements in the estimation of atmospheric loss by OH, and (iv) improvements of the transport models integrated in top-down inversions. The data presented here can be downloaded from the Carbon Dioxide Information Analysis Center ( http://doi.org/10.3334/CDIAC/GLOBAL_METHANE_BUDGET_2016_V1.1 ) and the Global Carbon Project.","Wetland methane emissions,Oceanography,Natural gas,Methane,Greenhouse gas,Greenhouse effect,Geology,Climate change,Carbon project,Atmospheric sciences,Atmospheric chemistry,Oil shale gas,Oil shale,Natural gas,Radiative forcing,Environmental science,Atmospheric sciences,Trace gas,Meteorology,MOPITT,Tropical peat,Peat,Moderate-resolution imaging spectroradiometer,Tropospheric ozone,Tonne,Pollutant,Yedoma,Total organic carbon,Thaw depth,Yedoma,Permafrost carbon cycle,Permafrost,Ozone,Optical depth,Latitude,Waste management,Renewable natural gas,Natural gas,Workover,Waste management,Natural gas","Marielle Saunois,Philippe Bousquet,Ben Poulter,Anna Peregon,Philippe Ciais,Josep G. Canadell,Edward J. Dlugokencky,Giuseppe Etiope,David Bastviken,Sander Houweling,Greet Janssens-Maenhout,Francesco N. Tubiello,Simona Castaldi,Robert B. Jackson,Mihai Alexe,Vivek K. Arora,David J. Beerling,Peter Bergamaschi,Donald R. Blake,Gordon Brailsford,Victor Brovkin,Lori Bruhwiler,Cyril Crevoisier,Patrick Crill,Kristofer Covey,Charles Curry,Christian Frankenberg,Nicola Gedney,Lena Höglund-Isaksson,Misa Ishizawa,Akihiko Ito,Fortunat Joos,Heon Sook Kim,Thomas Kleinen,Paul Krummel,Jean François Lamarque,Ray Langenfelds,Robin Locatelli,Toshinobu Machida,Shamil Maksyutov,Kyle C. McDonald,Julia Marshall,Joe R. Melton,Isamu Morino,Vaishali Naik,Simon O'Doherty,Frans Jan W Parmentier,Prabir K. Patra,Changhui Peng,Shushi Peng,Glen P. Peters,Isabelle Pison,Catherine Prigent,Ronald Prinn,Michel Ramonet,William J. Riley,Makoto Saito,Monia Santini,Ronny Schroeder,Isobel J. Simpson,Renato Spahni,Paul Steele,Atsushi Takizawa,Brett F. Thornton,Hanqin Tian,Yasunori Tohjima,Nicolas Viovy,Apostolos Voulgarakis,Michiel Van Weele,Guido R. Van Der Werf,Ray Weiss,Christine Wiedinmyer,David J. Wilton,Andy Wiltshire,Doug Worthy,Debra Wunch,Xiyan Xu,Yukio Yoshida,Bowen Zhang,Zhen Zhang,Qiuan Zhu,Robert W. Howarth,Renee Santoro,Anthony Ingraffea,Gunnar Myhre,Drew Shindell,Julia Pongratz,M. O. Andreae,P. Merlet,G. R. van der Werf,J. T. Randerson,L. Giglio,G. J. Collatz,M. Mu,Drew Shindell,Johan C. I. Kuylenstierna,Elisabetta Vignati,Rita van Dingenen,Markus Amann,C. Tarnocai,J. G. Canadell,E. A. G. Schuur,Peter Kuhry,G. Mazhitova,E. A. G. Schuur,A. D. McGuire,C. Schädel,Guido Grosse,J. W. Harden,J.-F. Lamarque,T. C. Bond,V. Eyring,Claire Granier,A. Heil,A. R. Brandt,G. A. Heath,E. A. Kort,F. O'Sullivan,G. Pétron,David T Allen,Vincent M Torres,James A Thomas,David W Sullivan,Matthew Harrison",http://www.earth-syst-sci-data.net/8/697/2016/essd-8-697-2016.pdf,485,carbon project agriculture
7,Global CO 2 emissions from cement production,2017-01-01,Earth System Science Data,10.5194/ESSD-10-195-2018,"Abstract. The global production of cement has grown very rapidly in recent years, and after fossil fuels and land-use change, it is the third-largest source of anthropogenic emissions of carbon dioxide. The required data for estimating emissions from global cement production are poor, and it has been recognised that some global estimates are significantly inflated. Here we assemble a large variety of available datasets and prioritise official data and emission factors, including estimates submitted to the UNFCCC plus new estimates for China and India, to present a new analysis of global process emissions from cement production. We show that global process emissions in 2016 were 1.45±0.20 Gt CO2, equivalent to about 4 % of emissions from fossil fuels. Cumulative emissions from 1928 to 2016 were 39.3±2.4 Gt CO2, 66 % of which have occurred since 1990. Emissions in 2015 were 30 % lower than those recently reported by the Global Carbon Project. The data associated with this article can be found at https://doi.org/10.5281/zenodo.831455 .","Waste management,Geology,Fossil fuel,Cement,Carbon project,Carbon dioxide,Landfill gas utilization,Greenhouse gas inventory,Greenhouse gas accounting,Greenhouse gas,Fossil fuel,Environmental science,Vegetation,Sink (computing),Latitude,Plateau,Natural gas,Inorganic chemistry,Physical geography,Geology,Earth system science,Trace gas emissions,Temporal scales,Geology,Waste management,Scenario analysis,Kiln,Secondary sector of the economy,Refining (metallurgy),Natural resource economics,Waste management,Pollutant,Marginal cost,Waste management,Raw material,Production line","Robbie M. Andrew,K. Paustian,N.H. Ravindranath,A.R. van Amstel,Z Liu,Dabo Guan,Wei Wei,Steven J Davis,Philippe Ciais,Corinne Le Quere,Robbie M. Andrew,Josep G. Canadell,Stephen Sitch,Jan Ivar Korsbakken,S.H. Mohr,J. Wang,G. Ellem,J. Ward,D. Giurco,C. Le Quéré,R. M. Andrew,P. Friedlingstein,S. Sitch,Julia Pongratz,R.J. Andres,T.A. Boden,F.-M. Bréon,P. Ciais,S. Davis,Jin-Hua Xu,Tobias Fleiter,Wolfgang Eichhammer,Ying Fan,Jing Ke,Michael McNeil,Lynn Price,Nina Zheng Khanna,Nan Zhou,Shaohui Zhang,Ernst Worrell,Wina Crijns-Graus,Lei Shen,Tianming Gao,Jianan Zhao,Limao Wang,Lan Wang",http://www.earth-syst-sci-data.net/10/195/2018/essd-10-195-2018.pdf,274,carbon project agriculture
8,Global Carbon Project,2012-01-01,World Social Science Report,10.1787/9789264203419-108-EN,"The Global Carbon Project (GCP) is a joint project of the International Human Dimensions Programme on Global Environmental Change (IHDP), the International Geosphere-Biosphere Programme (IGBP), DIVERSITAS and the World Climate Research Programme (WCRP). It aims to model carbon flows on all scales in the Earth system and to help guide policy and behaviour to reduce and stabilise greenhouse gas emissions.","International Human Dimensions Programme,Greenhouse gas,Environmental science,Environmental resource management,Environmental change,Earth system science,Carbon project,Carbon,Wetland methane emissions,Methane,Greenhouse gas,Weathering,Total organic carbon,Terrestrial ecosystem,Low-carbon economy,Land use, land-use change and forestry,Land use,Terrestrial ecosystem,Soil carbon,Flux,Greenhouse gas,Environmental protection,Environmental pollution,Waste management,Nitric acid,Lime,Sustainable development,Soil science,Soil retrogression and degradation,Waste management,Post-combustion capture,Negative carbon dioxide emission,Pulp and paper industry,Methanol,Lignocellulosic biomass,Waste management,Power sector,Oxidation rate","Gcp,Stefanie Kirschke,Philippe Bousquet,Philippe Ciais,Marielle Saunois,Josep G. Canadell,Pierre Regnier,Pierre Friedlingstein,Philippe Ciais,Fred T. Mackenzie,Nicolas Gruber,Brendan Mackey,I. Colin Prentice,Will Steffen,Joanna Isobel House,David Lindenmayer,D. N. Huntzinger,W. M. Post,Y. Wei,A. M. Michalak,T. O. West,Manuel A. Zambrano-Monserrate,María Alejandra Ruano,Luis Sanchez-Alcalde,Zhu Liu,Johan Bouma,Zhi Hua Lee,Keat Teong Lee,Subhash Bhatia,Abdul Rahman Mohamed,Ilkka Hannula,Esa Kurkela,Xinyu Chen,Junling Huang,Qing Yang,Chris P. Nielsen,Dongbo Shi",https://www.oecd-ilibrary.org/social-issues-migration-health/world-social-science-report-2013/global-carbon-project_9789264203419-108-en,60,carbon project agriculture
9,The Global Methane Budget 2000–2017,2020-01-01,Earth System Science Data,10.5194/ESSD-2019-128,"Abstract. Understanding and quantifying the global methane (CH4) budget is important for assessing realistic pathways to mitigate climate change. Atmospheric emissions and concentrations of CH4 are continuing to increase, making CH4 the second most important human-influenced greenhouse gas in terms of climate forcing, after carbon dioxide (CO2). Assessing the relative importance of CH4 in comparison to CO2 is complicated by its shorter atmospheric lifetime, stronger warming potential, and atmospheric growth rate variations over the past decade, the causes of which are still debated. Two major difficulties in reducing uncertainties arise from the variety of geographically overlapping CH4 sources and from the destruction of CH4 by short-lived hydroxyl radicals (OH). To address these difficulties, we have established a consortium of multi-disciplinary scientists under the umbrella of the Global Carbon Project to synthesize and stimulate new research aimed at improving and regularly updating the global methane budget. Following Saunois et al. (2016), we present here the second version of the living review paper dedicated to the decadal methane budget, integrating results of top-down studies (atmospheric observations within an atmospheric inverse-modelling framework) and bottom-up estimates (including process-based models for estimating land surface emissions and atmospheric chemistry, inventories of anthropogenic emissions, and data-driven extrapolations). For the 2008–2017 decade, global methane emissions are estimated by atmospheric inversions (top-down approach) to be 572 Tg CH4 yr−1 (range 538–593, corresponding to the minimum and maximum estimates of the ensemble), of which 357 Tg CH4 yr−1 or ~ 60 % are attributed to anthropogenic sources (range 50–65 %). This total emission is 27 Tg CH4 yr−1 larger than the value estimated for the period 2000–2009 and 24 Tg CH4 yr−1 larger than the one reported in the previous budget for the period 2003–2012 (Saunois et al. 2016). Since 2012, global CH4 emissions have been tracking the carbon intensive scenarios developed by the Intergovernmental Panel on Climate Change (Gidden et al., 2019). Bottom-up methods suggest larger global emissions (737 Tg CH4 yr−1, range 583–880) than top-down inversion methods, mostly because of larger estimated natural emissions from sources such as natural wetlands, other inland water systems, and geological sources. However the strength of the atmospheric constraints on the top-down budget, suggest that these bottom-up emissions are overestimated. The latitudinal distribution of atmospheric-based emissions indicates a predominance of tropical emissions (~ 65 % of the global budget, The data presented here can be downloaded from ICOS ( https://doi.org/10.18160/GCP-CH4-2019 ) and the Global Carbon Project.","Radiative forcing,Methane,Inversion (meteorology),Greenhouse gas,Geology,Climatology,Climate change,Carbon project,Carbon dioxide,Atmospheric chemistry,Representative Concentration Pathways,Radiative forcing,IPCC Fourth Assessment Report,Thematic map,Satellite imagery,Remote sensing,Wetland,Water extraction,Surface water,Tropical peat,Peat,Moderate-resolution imaging spectroradiometer,Tropospheric ozone,Tonne,Pollutant,Greenhouse gas,Fossil fuel,Environmental science,Yedoma,Permafrost carbon cycle,Permafrost,Waste management,Renewable natural gas,Natural gas,Vulnerability,Sustainable development,Land use,Workover,Waste management,Natural gas","Marielle Saunois,Ann R. Stavert,Ben Poulter,Philippe Bousquet,Joseph G. Canadell,Robert B. Jackson,Peter A. Raymond,Edward J. Dlugokencky,Sander Houweling,Prabir K. Patra,Philippe Ciais,Vivek K. Arora,David Bastviken,Peter Bergamaschi,Donald R. Blake,Gordon Brailsford,Lori Bruhwiler,Kimberly M. Carlson,Mark Carrol,Simona Castaldi,Naveen Chandra,Cyril Crevoisier,Patrick M. Crill,Kristofer Covey,Charles L. Curry,Giuseppe Etiope,Christian Frankenberg,Nicola Gedney,Michaela I. Hegglin,Lena Höglund-Isaksson,Gustaf Hugelius,Misa Ishizawa,Akihiko Ito,Greet Janssens-Maenhout,Katherine M. Jensen,Fortunat Joos,Thomas Kleinen,Paul B. Krummel,Ray L. Langenfelds,Goulven G. Laruelle,Licheng Liu,Toshinobu Machida,Shamil Maksyutov,Kyle C. McDonald,Joe McNorton,Paul A. Miller,Joe R. Melton,Isamu Morino,Jureck Müller,Fabiola Murgia-Flores,Vaishali Naik,Yosuke Niwa,Sergio Noce,Simon O'Doherty,Robert J. Parker,Changhui Peng,Shushi Peng,Glen P. Peters,Catherine Prigent,Ronald Prinn,Michel Ramonet,Pierre Regnier,William J. Riley,Judith A. Rosentreter,Arjo Segers,Isobel J. Simpson,Hao Shi,Steven J. Smith,L. Paul Steele,Brett F. Thornton,Hanqin Tian,Yasunori Tohjima,Francesco N. Tubiello,Aki Tsuruta,Nicolas Viovy,Apostolos Voulgarakis,Thomas S. Weber,Michiel van Weele,Guido R. van der Werf,Ray F. Weiss,Doug Worthy,Debra Wunch,Yi Yin,Yukio Yoshida,Wenxin Zhang,Zhen Zhang,Yuanhong Zhao,Bo Zheng,Qing Zhu,Qiuan Zhu,Qianlai Zhuang,Malte Meinshausen,S. J. Smith,K. Calvin,J. S. Daniel,M. L. T. Kainuma,Mark A. Friedl,Damien Sulla-Menashe,Bin Tan,Annemarie Schneider,Navin Ramankutty,Jean-François Pekel,Andrew Cottam,Noel Gorelick,Alan S Belward,G. R. van der Werf,J. T. Randerson,L. Giglio,G. J. Collatz,M. Mu,Drew Shindell,Johan C. I. Kuylenstierna,Elisabetta Vignati,Rita van Dingenen,Markus Amann,Z Liu,Dabo Guan,Wei Wei,Steven J Davis,Philippe Ciais,E. A. G. Schuur,A. D. McGuire,C. Schädel,Guido Grosse,J. W. Harden,A. R. Brandt,G. A. Heath,E. A. Kort,F. O'Sullivan,G. Pétron,Keywan Riahi,Detlef P. van Vuuren,Elmar Kriegler,Jae Edmonds,Brian C. O’Neill,David T Allen,Vincent M Torres,James A Thomas,David W Sullivan,Matthew Harrison",https://essd.copernicus.org/articles/12/1561/2020/essd-12-1561-2020.pdf,488,carbon project agriculture
