,title,abstract,publication_date,doi,authors,source,url,search_string,database
0,The effects of emission trading system on corporate innovation and productivity-empirical evidence from China’s SO_2 emission trading system,"Emission trading system is a significant market-based environmental regulation tool worldwide. This study fills existing knowledge gap on whether ETSs have “weak” and “strong” version of Porter hypothesis effects in China, by examining the effects of the Chinese SO_2 emission trading on corporate innovation and productivity. Using the micro-data of domestic-listed manufacturing companies from 2004 to 2015, this study regarded China’s SO_2 emission trading system as a quasi-natural experiment by applying a difference-in-difference framework to eliminate endogenous problems. It was found that the SO_2 emission trading system significantly promoted corporate innovation but did not have a significant effect on corporate productivity. The cause analysis showed that suboptimal institutional context and lack of corporate dynamic response led to the failure of strong Porter hypothesis effect. In addition, small- and medium-sized enterprises and non-state-owned enterprises gained greater innovation compensation effects of the emission trading system. This research believed that, the design, institutional context, and market incentives of emission trading systems need to be improved from the top down, to achieve the dual goal of environmental sustainability and economic growth.",2020-06-01,10.1007/s11356-020-08566-x,"['Tang, Hong-li', 'Liu, Jian-min', 'Mao, Jun', 'Wu, Jin-guang']",Environmental Science and Pollution Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11356-020-08566-x,"(""agr*"") AND (""emissions permit trade"")",springer
1,Transboundary pollution control and environmental absorption efficiency management,"In this paper, we suggest a two-player differential game model of transboundary pollution that accounts for time-dependent environmental absorption efficiency, which allows the biosphere to switch from a carbon sink to a source. We investigate the impact of negative externalities resulting from a transboundary pollution non-cooperative game wherein countries are dynamically involved. Based on a linear-quadratic specification for the instantaneous revenue function, we assess differences related to both transient path and steady state between cooperative solution, open-loop and Markov perfect Nash equilibria (MPNE). Regarding the methodological contribution of the paper, we suggest a particular structure of the conjectured value function to solve MPNE problems with multiplicative interaction between state variables in one state equation, so that third-order terms that arise in the Hamilton–Jacobi–Bellman equation are made negligible. Using a collocation procedure, we confirm the validity of the particular structure of the conjectured value function. The results suggest unexpected contrasts in terms of pollution control and environmental absorption efficiency management: (i) in the long run, an open-loop Nash equilibrium (OLNE) allows equivalent emissions to the social optimum but requires greater restoration efforts; (ii) although an MPNE is likely to end up with lower emissions and greater restoration efforts than an OLNE, it has a much greater chance of falling in the emergency area; (iii) the absence of cooperation and or precommitment becomes more costly as the initial absorption efficiency decreases; (iv) more heavily discounted MPNE strategies are less robust than OLNE to prevent irreversible switching of the biosphere from a carbon sink to a source.",2020-04-01,10.1007/s10479-018-2927-7,"['El Ouardighi, Fouad', 'Kogan, Konstantin', 'Gnecco, Giorgio', 'Sanguineti, Marcello']",Annals of Operations Research,http://link.springer.com/openurl/pdf?id=doi:10.1007/s10479-018-2927-7,"(""agr*"") AND (""emissions permit trade"")",springer
2,"Research on the sustainable development process of low-carbon pilot cities: the case study of Guiyang, a low-carbon pilot city in south-west China","China plans to pursue low-carbon development in its low-carbon pilot cities to control greenhouse gas emissions. The low-carbon city development is an important method to achieve sustainable development strategy, while it is also a new city development mode to promote natural ecology, low-carbon economy and social happiness. However, the evaluation process of the low-carbon city is a multiple objective and decision problem. A single indicator cannot comprehensively and objectively evaluate a city’s low-carbon development level, so a comprehensive evaluation index system should be established. So taking Guiyang as a case study, this article constructs 35 evaluating indicators that are based on the basic urban development level and low-carbon urban development level to analyse the economic development, social progress and environmental quality transmutation comprehensively by using the entropy method. The results show that in the whole process of sustainable development, the economic development, social progress and the environmental quality have been greatly improved, but the low-carbon level had been on the low side from 2003 to 2016 in Guiyang. Therefore, Guiyang still has a long way to go to become a low-carbon city, and concrete policies and countermeasures should be taken to promote the low-carbon level. In particular, Guiyang has to strengthen the dual constraint of carbon emission intensity and total carbon emissions, adhere to the development path characterized by low carbon and strive to achieve leapfrog development.",2020-03-14,10.1007/s10668-020-00679-0,"['Peng, Tao', 'Deng, Hongwei']","Environment, Development and Sustainability",http://link.springer.com/openurl/pdf?id=doi:10.1007/s10668-020-00679-0,"(""agr*"") AND (""emissions permit trade"")",springer
3,A new emission trading with bounded rational countries: a network game approach,"This paper designs a new carbon trading mechanism, that is, developed countries will give developing countries a certain amount of subsidies and require them to undertake a certain amount of additional emission reduction tasks in order to promote emission reduction of developing countries. This is equivalent to developed countries “buying emission permits” from developing countries. We study the dynamic property of this kind of emission trading and treat the trading process as a social network that exhibits network effects in which there exist only one developed country and many developing countries. Furthermore, we model the developing countries as bounded rational, i.e., they are unable to pay immediate attention to price changes. Finally, we find that the developed country’s optimal prices trajectory has the following structure: the price is low when the number of bounded countries is less than a certain level and is high when the number is greater than the target. We also show that a certain number of bounded rational developing countries are conducive to the success of emission trading.",2020-02-28,10.1007/s42452-020-2264-8,"['Chen, Weidong', 'Li, Liming']",SN Applied Sciences,https://www.nature.com/articles/s42452-020-2264-8.pdf,"(""agr*"") AND (""emissions permit trade"")",springer
4,"Emission Reporting, Registration and Permit System","There are two key parts of the Emission Reporting, Registration and Permit System (“the Emission Permit System” in short), namely, emission reporting and registration, and emission permit, respectively. First, the polluter shall report to and register with the competent authority for environmental protection for its pollution conditions, including pollutant(s) emission facilities, pollutant(s) treatment facilities, and the types, quantities and emission concentrations of pollutants under normal operating conditions, as per the relevant regulations. Second, according to the application of the polluter, the competent authority for environmental protection shall issue an emission permit to the polluter specifying the allowable emission terms for the polluter under normal operating and production conditions. As clearly defined in Sect.  6.2.1 , whichever entity directly discharges pollutants (including air pollutants, water pollutants, noise, and solid wastes) into the environment is a polluter; they can be categorized as key pollutants polluters and general pollutants polluters. The Emission Permit System is a legal administrative management system aiming to improve the environmental quality by regulating the amount and volume of pollutants discharged, and the destination of discharge pollutants, based on the Emission Cap System, which will be described comprehensively in Chap. 10 .",2020-01-01,10.1007/978-981-15-4894-9_9,"['Wu, Jing', 'Chang, I-Shin']",Environmental Management in China,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-981-15-4894-9_9,"(""agr*"") AND (""emissions permit trade"")",springer
5,Special Report 4: China’s Energy System Revolution,"Innovation plays a crucial role in China’s energy system transition and revolution. At the 6th meeting of the Central Leading Group for Financial and Economic Affairs in June 2014, General Secretary Xi announced that China would: (i) carry out an energy system revolution to put China’s energy development on the fast track; (ii) reform the energy industry into an effective and competitive market system with a market-oriented pricing mechanism; and (iii) transform the government’s regulation of the energy industry and improve the energy legislation system.",2020-01-01,10.1007/978-3-030-40154-2_5,"['Yaodong, Shi', 'Gillespie, Angus']",China's Energy Revolution in the Context of the Global Energy Transition,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-40154-2_5,"(""agr*"") AND (""emissions permit trade"")",springer
6,Strategic Interaction Among Firms in Output and Emission Markets: A Unified Framework,"Cap-and-trade (CAT) programs are nowadays a common tool used by authorities to regulate polluting emissions and tackle environmental problems such as Climate Change. In this chapter, we analyze the implications of firm’s strategic behavior in product and emission permit markets for the success of these policies. We survey the related literature focusing on the relevance of market structure and firms’ competition. We develop a simple but unifying setting to revisit some of the main academic results on the subject.",2020-01-01,10.1007/978-3-030-19107-8_12,"['André, Francisco J.', 'Castro, Luis M.']",Games in Management Science,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-19107-8_12,"(""agr*"") AND (""emissions permit trade"")",springer
7,Special Report 2: Research on China’s Energy Demand Revolution,International experience suggests that China’s next energy revolution will focus on energy quality instead of quantity. China’s rapid economic growth from the 1980s has been partly driven by substantial expansion of the energy system.,2020-01-01,10.1007/978-3-030-40154-2_3,"['Jianlong, Yang', 'Haigh, Martin']",China's Energy Revolution in the Context of the Global Energy Transition,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-030-40154-2_3,"(""agr*"") AND (""emissions permit trade"")",springer
8,Energy Governance in Spain,"Spain is lagging behind in the transition to a sustainable energy system compared to other EU member states. Its unique position as an energy island, coupled with errors in energy planning inherited from previous government regimes, constitute a legacy that makes changes in the system difficult to achieve. Current political instability adds to the difficulties, under a governance framework characterised by lack of coordination and supremacy of the central government in the decision making process, in an environment where traditional energy companies still exert lobby power. The continuous changes in the regulatory framework of the energy sector have hindered investments in low carbon sources of energy due to perceived uncertainty. Small changes in the right direction are being observed though, with a more prominent role expected from the local levels of government. But many measures still originate on requirements linked to EU commitments and more initiatives at the national level need to be seen.",2020-01-01,10.1007/978-3-319-73526-9_29-1,"['Campos-Martín, Jose M.', 'Crespo, Laura', 'Fernandez, Rosa M.']",Handbook of Energy Governance in Europe,http://link.springer.com/openurl/pdf?id=doi:10.1007/978-3-319-73526-9_29-1,"(""agr*"") AND (""emissions permit trade"")",springer
9,The efforts of Taiwan to achieve NDC target: an integrated assessment on the carbon emission trading system,"In this paper, we adopt a computable general equilibrium model to investigate the impacts of achieving Taiwan’s target of nationally determined contributions (NDC). We consider two types of scenarios: one implemented with the emission trading system (ETS) and the other designed under cap without trade. Our findings suggest that Taiwan’s NDC target is achievable in two policies but with different economic costs. On the one hand, ETS reconciles the demand and supply for emission allowances. More participants in the ETS increase the chance that a buyer can match the seller; moreover, the carbon price is lower. On the other hand, in the cap-without-trade scenario, industrial sectors have to pay higher prices for emission allowances if there is no market for emission–allowance exchanges. Furthermore, we find that the initial distribution of free emission allowances affects not only sectoral emissions but also GDP loss. In 2030, the GDP loss ranges from 1.8 to 2.2% in the cap-without-trade scenario and around 1.8% in the ETS. Therefore, the ETS helps achieve Taiwan’s NDC target with a lower economic loss. Taiwan, an independent energy system isolated from other countries or regions, can achieve its NDC target with the launch of ETS.",2019-12-01,10.1007/s11069-019-03660-x,"['Wu, Yi-Hua', 'Dai, Hancheng', 'Xie, Yang', 'Masui, Toshihiko']",Natural Hazards,http://link.springer.com/openurl/pdf?id=doi:10.1007/s11069-019-03660-x,"(""agr*"") AND (""emissions permit trade"")",springer
